TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.1060.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	181223	W07E11.1
3.30.70.890	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	175863	mvk-1
2.20.140.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	3565967	parp-2
2.40.20.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	174473	cam-1
2.30.30.1020	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	179312	tag-153
3.30.1140.40	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172476	dylt-1
3.40.366.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	172715	fasn-1
1.10.246.90	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	171901	nol-58
1.10.230.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	180485	acly-1
3.90.110.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	175936	mdh-2
1.10.245.10	-	0.241295547546192	-1.42173275846423	3	1	0.00208768267223382	479	5448	175747	T24G10.2
2.120.10.30	-	0.268024326154107	-1.31667753335881	30	4	0.00835073068893528	479	5448	172520,176084,266833,174116	lrp-1,ncl-1,pamn-1,T13C2.6
3.40.50.410	-	0.27394543821768	-1.2948263230156	50	6	0.0125260960334029	479	5448	175504,178078,172977,178183,176060,175951	pat-3,sec-24.1,rpn-10,sec-24.2,mup-4,dig-1
3.30.420.10	-	0.305361298437571	-1.18625961840077	52	6	0.0125260960334029	479	5448	176625,266861,181504,175974,173468,179016	ccf-1,rnh-2,alg-1,panl-2,alg-2,sago-1
1.10.1540.10	-	0.308039245014197	-1.17752808524839	4	1	0.00208768267223382	479	5448	178220	wdfy-3
2.160.20.10	-	0.308039245014197	-1.17752808524839	4	1	0.00208768267223382	479	5448	179045	dre-1
1.10.287.660	-	0.308039245014197	-1.17752808524839	4	1	0.00208768267223382	479	5448	171901	nol-58
3.30.2280.10	-	0.308039245014197	-1.17752808524839	4	1	0.00208768267223382	479	5448	176341	clu-1
2.60.120.10	-	0.329389355179747	-1.11051477754781	23	3	0.00626304801670146	479	5448	177659,176991,176225	pkg-2,egl-4,ZK370.4
4.10.400.10	-	0.354336153581351	-1.0375092300323	24	3	0.00626304801670146	479	5448	174116,180755,172520	T13C2.6,mig-13,lrp-1
1.25.40.10	-	0.359141055180487	-1.02404005629706	98	10	0.0208768267223382	479	5448	176569,172303,176794,176000,179720,176341,177335,173846,180801,175206	dpy-18,chn-1,hip-1,ogt-1,sel-1,clu-1,fem-1,sgt-1,ags-3,unc-45
3.50.50.60	-	0.362012654077435	-1.0160761117523	45	5	0.0104384133611691	479	5448	179845,172922,178402,181108,181223	fmo-4,pdpr-1,gdi-1,sdha-1,W07E11.1
3.40.50.11660	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	174400	fut-1
3.40.50.200	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	172333	bli-4
1.10.510.50	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	172128	lfe-2
3.30.1360.120	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	172922	pdpr-1
3.10.350.10	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	179225	lmd-3
3.10.390.10	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	175054	daf-5
3.10.20.380	-	0.36892263987838	-0.9971683049469	5	1	0.00208768267223382	479	5448	173894	dsh-1
1.50.40.10	-	0.411912048913336	-0.886945425932644	37	4	0.00835073068893528	479	5448	174752,174602,178020,177711	mfn-1,T09F3.2,F01G4.6,slc-25A26
3.40.850.10	-	0.411912048913336	-0.886945425932644	37	4	0.00835073068893528	479	5448	175521,179321,172562,176179	hum-5,hum-2,nmy-2,unc-116
4.10.1240.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	174419	lat-1
3.40.50.1910	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	181030	unc-18
4.10.70.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	172689	sup-17
3.30.559.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	174279	dbt-1
1.10.1200.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	172715	fasn-1
1.10.3080.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	174449	clh-5
3.40.50.261	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	180485	acly-1
3.30.740.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	175922	dlc-1
2.40.50.90	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	175898	akap-1
3.90.520.10	-	0.424459302656424	-0.85693914907185	6	1	0.00208768267223382	479	5448	180431	daf-3
2.120.10.80	-	0.448220835631526	-0.802469231343012	17	2	0.00417536534446764	479	5448	177560,180050	hcf-1,F53E4.1
1.20.58.2220	-	0.475117882961453	-0.74419233108204	7	1	0.00208768267223382	479	5448	179786	inft-2
1.20.1020.10	-	0.475117882961453	-0.74419233108204	7	1	0.00208768267223382	479	5448	176380	cbp-1
3.40.720.10	-	0.478417513038012	-0.737271469494827	18	2	0.00417536534446764	479	5448	171881,178413	pign-1,Y41E3.1
1.10.246.20	-	0.521326031110098	-0.651379653465149	8	1	0.00208768267223382	479	5448	176380	cbp-1
1.10.720.30	-	0.521326031110098	-0.651379653465149	8	1	0.00208768267223382	479	5448	180789	pqn-62
3.10.20.30	-	0.521326031110098	-0.651379653465149	8	1	0.00208768267223382	479	5448	173205	ola-1
3.40.800.20	-	0.521326031110098	-0.651379653465149	8	1	0.00208768267223382	479	5448	173074	hda-3
