TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.150	-	0.217426288432145	-1.52589538965451	56	5	0.0159744408945687	313	5448	173278,173244,178631,180029,179649	dnj-29,Y37H9A.3,snt-5,plc-2,pkc-1
3.60.15.10	-	0.233480710553666	-1.45465581533412	16	2	0.00638977635782748	313	5448	177137,182131	nape-1,C03A3.3
3.10.50.10	-	0.255250716546758	-1.36550901470621	17	2	0.00638977635782748	313	5448	182437,187357	chil-7,chil-12
3.40.50.880	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	174672	gmps-1
2.60.110.10	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	186006	thn-4
2.60.120.1490	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	177292	lam-1
2.60.40.420	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	176882	efn-4
1.10.510.50	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	188657	T20F7.3
1.10.135.10	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	180080	argk-1
3.90.280.10	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	182930	C26B2.8
3.40.350.10	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	187899	R119.2
2.30.30.190	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	176401	cyld-1
3.10.20.70	-	0.256179528154322	-1.36187679843297	5	1	0.00319488817891374	313	5448	180875	gln-1
2.60.210.10	-	0.270339768996426	-1.30807570741959	76	6	0.0191693290734824	313	5448	176767,181824,174210,182659,174861,173532	trf-1,bath-20,bath-44,math-15,pqn-87,bath-47
1.20.1270.60	-	0.278133238422421	-1.27965500520624	32	3	0.00958466453674121	313	5448	4926960,172848,178361	Y37A1B.17,Y106G6A.4,lst-4
1.10.357.40	-	0.298952963336674	-1.20746903122175	6	1	0.00319488817891374	313	5448	182379	irg-1
